Day,Outlook,Temperature,Humidity,Wind,Season,Weekend,Location,Rainfall_mm,UVIndex,CloudCover_pct,AirQuality_AQI,Pressure_hPa,WeatherScore,IdealConditions,PlayTennis,PlayTennis_Num
D462,Sunny,Cool,Normal,Strong,Fall,0,Park,1.5,1.0,38.0,35.0,1022.1,5.1,0,Yes,1
D463,Overcast,Mild,Normal,Strong,Summer,0,Club,1.0,5.0,85.0,57.0,1015.2,7.1,0,Yes,1
D464,Sunny,Cool,Normal,Strong,Winter,0,Backyard,2.0,4.0,7.0,52.0,1023.9,4.9,0,Yes,1
D465,Sunny,Cool,Normal,Strong,Winter,1,Backyard,1.4,3.0,4.0,37.0,1014.1,3.9,0,Yes,1
D466,Rain,Mild,Normal,Strong,Spring,0,Backyard,9.6,1.0,90.0,,1002.6,2.7,0,Yes,1
D467,Rain,Mild,High,Weak,Winter,0,Club,17.4,0.0,80.0,26.0,999.7,,0,No,0
D468,Rain,Cool,High,Weak,Winter,0,Backyard,,0.0,90.0,40.0,996.9,4.0,0,No,0
D469,Overcast,Cool,High,Weak,Fall,0,Resort,3.7,0.0,77.0,72.0,1018.8,7.1,0,Yes,1
D470,Rain,,High,Strong,Fall,0,Park,28.7,0.0,92.0,64.0,999.0,1.8,0,No,0
D471,Rain,Mild,High,Weak,Summer,0,Park,30.1,2.0,85.0,30.0,1006.5,3.2,0,No,0
D472,Rain,Hot,High,Weak,Summer,0,Park,17.3,2.0,100.0,21.0,1000.7,3.9,0,No,0
D473,Overcast,Hot,High,Strong,Fall,0,Backyard,1.0,2.0,85.0,44.0,1013.5,4.7,0,No,0
D474,Rain,Hot,Normal,Strong,Fall,0,Backyard,22.3,1.0,89.0,75.0,,3.2,0,No,0
D475,Rain,Mild,High,Weak,Summer,0,Club,9.4,3.0,92.0,28.0,1003.5,3.7,0,No,0
D476,Sunny,Mild,Normal,Strong,Fall,0,Public Court,0.1,5.0,13.0,5.0,1018.2,4.1,0,Yes,1
D477,Rain,Cool,Normal,Weak,Spring,0,Resort,5.5,,84.0,,1007.2,6.1,0,Yes,1
D478,Sunny,Hot,Normal,Weak,Spring,0,Club,1.0,5.0,11.0,61.0,1023.1,7.0,0,Yes,1
D479,Overcast,Cool,High,Weak,Fall,1,Park,1.6,1.0,88.0,,1020.3,5.9,0,Yes,1
D480,Sunny,Mild,Normal,Strong,Fall,0,Club,3.3,3.0,0.0,8.0,1018.0,4.1,0,Yes,1
D481,Overcast,Hot,Normal,Strong,Winter,1,Park,2.0,0.0,100.0,54.0,1011.4,6.2,0,Yes,1
D482,Sunny,Cool,High,Strong,Spring,0,Park,1.7,7.0,27.0,26.0,1018.7,2.9,0,No,0
D483,Rain,Hot,High,Weak,Spring,0,Backyard,19.7,2.0,100.0,17.0,998.1,4.1,0,No,0
D484,Rain,,High,Strong,Spring,1,Park,19.5,2.0,62.0,23.0,1003.0,1.1,0,No,0
D485,Sunny,Mild,Normal,Strong,Spring,0,Club,1.0,6.0,12.0,69.0,1017.9,5.0,0,Yes,1
D486,Rain,Hot,Normal,Weak,Fall,0,Backyard,11.0,1.0,78.0,47.0,1011.5,5.9,0,No,0
D487,Rain,Hot,Normal,Strong,Summer,1,Public Court,6.1,,80.0,17.0,1003.6,4.1,0,No,0
D488,Sunny,Mild,Normal,,Summer,0,Park,1.8,10.0,1.0,37.0,1018.2,5.1,0,Yes,1
D489,Overcast,Cool,High,Strong,Fall,0,Public Court,0.2,2.0,,36.0,1018.6,2.8,0,Yes,1
D490,Rain,,Normal,Weak,Winter,0,Public Court,5.4,0.0,95.0,46.0,1004.9,5.9,0,Yes,1
D491,Overcast,Mild,Normal,Strong,Fall,0,Club,0.2,3.0,67.0,47.0,1012.1,6.1,0,Yes,1
D492,Sunny,Hot,Normal,Weak,Winter,1,,1.0,2.0,24.0,80.0,1024.3,7.0,0,Yes,1
D493,Rain,Cool,Normal,Weak,Spring,0,Club,17.3,3.0,74.0,,1009.6,5.2,0,Yes,1
D494,Overcast,Mild,High,Weak,Spring,0,Backyard,3.4,3.0,69.0,25.0,1013.8,5.9,0,Yes,1
D495,Sunny,Cool,Normal,Weak,Summer,0,Public Court,3.8,9.0,30.0,65.0,1015.1,5.9,0,Yes,1
D496,Sunny,Mild,High,Strong,Spring,0,Backyard,2.3,7.0,0.0,64.0,1012.0,2.3,0,No,0
D497,Overcast,Hot,Normal,Weak,Spring,1,Park,0.2,4.0,,52.0,1012.5,8.7,1,Yes,1
D498,Sunny,Hot,Normal,,Summer,0,Resort,1.1,8.0,5.0,72.0,1021.8,3.9,0,Yes,1
D499,Overcast,Hot,Normal,Weak,Spring,0,Backyard,1.6,2.0,74.0,17.0,1014.0,9.0,1,Yes,1
D500,Overcast,Cool,High,Weak,Summer,0,Resort,3.2,7.0,62.0,52.0,1017.9,6.1,0,Yes,1
